two_theta,intensity
16.70000,23.17114
16.75000,22.30947
16.80000,19.34367
16.85000,20.49799
16.90000,19.66024
16.95000,22.17041
17.00000,21.04529
17.05000,16.16407
17.10000,21.62242
17.15000,21.80387
17.20000,18.92194
17.25000,18.50071
17.30000,21.11972
17.35000,18.83526
17.40000,20.57237
17.45000,20.06710
17.50000,18.92581
17.55000,17.67963
17.60000,24.45819
17.65000,18.44234
17.70000,20.49441
17.75000,19.68559
17.80000,19.98310
17.85000,16.89084
17.90000,18.23130
17.95000,17.38466
18.00000,22.34161
18.05000,18.35890
18.10000,18.27108
18.15000,21.78525
18.20000,20.69642
18.25000,22.56747
18.30000,21.14267
18.35000,20.06394
18.40000,18.23285
18.45000,23.05746
18.50000,19.64263
18.55000,18.21806
18.60000,19.57841
18.65000,19.60141
18.70000,22.91895
18.75000,24.85599
18.80000,19.50726
18.85000,21.94285
18.90000,18.40989
18.95000,19.50003
19.00000,18.53336
19.05000,20.20343
19.10000,21.20100
19.15000,20.37573
19.20000,19.24122
19.25000,19.88933
19.30000,18.53531
19.35000,21.02023
19.40000,19.21308
19.45000,20.46724
19.50000,21.90385
19.55000,18.76913
19.60000,22.95523
19.65000,15.39771
19.70000,18.73217
19.75000,21.89999
19.80000,19.34314
19.85000,17.99575
19.90000,18.95614
19.95000,23.08659
20.00000,23.53868
20.05000,17.23368
20.10000,18.64263
20.15000,18.61259
20.20000,22.81814
20.25000,19.54567
20.30000,20.77033
20.35000,20.33816
20.40000,19.99942
20.45000,19.28947
20.50000,21.99868
20.55000,20.09867
20.60000,17.83344
20.65000,19.74007
20.70000,17.35467
20.75000,20.18949
20.80000,19.09859
20.85000,18.10599
20.90000,15.95605
20.95000,24.39787
21.00000,19.76250
21.05000,23.45715
21.10000,18.28863
21.15000,20.78933
21.20000,23.67496
21.25000,21.55908
21.30000,18.71679
21.35000,15.87464
21.40000,17.13141
21.45000,20.90005
21.50000,21.47813
21.55000,21.36913
21.60000,20.15574
21.65000,20.56555
21.70000,21.32098
21.75000,19.55200
21.80000,20.80528
21.85000,21.05660
21.90000,18.18822
21.95000,21.74403
22.00000,23.47893
22.05000,24.87375
22.10000,21.12716
22.15000,19.87907
22.20000,17.49350
22.25000,21.68261
22.30000,21.68147
22.35000,18.37375
22.40000,21.53041
22.45000,19.12128
22.50000,17.64989
22.55000,20.02302
22.60000,19.35325
22.65000,18.82237
22.70000,18.91584
22.75000,19.10573
22.80000,17.24707
22.85000,24.32468
22.90000,22.97378
22.95000,17.81098
23.00000,21.10546
23.05000,20.25052
23.10000,19.84861
23.15000,23.49901
23.20000,21.44988
23.25000,17.78772
23.30000,19.27838
23.35000,16.44443
23.40000,20.76909
23.45000,20.34064
23.50000,20.38539
23.55000,19.58385
23.60000,20.08979
23.65000,20.56902
23.70000,23.83722
23.75000,20.36966
23.80000,19.42583
23.85000,21.03524
23.90000,21.73507
23.95000,22.35125
24.00000,22.32581
24.05000,19.53506
24.10000,21.92124
24.15000,18.62415
24.20000,17.30553
24.25000,18.65106
24.30000,21.14316
24.35000,16.83162
24.40000,23.30983
24.45000,19.80288
24.50000,21.12760
24.55000,19.24174
24.60000,17.36429
24.65000,19.40361
24.70000,21.05070
24.75000,17.96001
24.80000,20.50591
24.85000,18.08175
24.90000,16.65644
24.95000,17.98305
25.00000,20.87011
25.05000,17.20673
25.10000,21.26817
25.15000,20.00551
25.20000,18.48806
25.25000,20.02152
25.30000,23.96611
25.35000,22.65544
25.40000,24.45974
25.45000,25.89198
25.50000,29.27950
25.55000,41.69898
25.60000,49.12137
25.65000,50.98752
25.70000,49.52513
25.75000,43.82547
25.80000,35.51553
25.85000,27.97281
25.90000,26.08775
25.95000,22.08354
26.00000,16.55701
26.05000,20.35730
26.10000,19.42352
26.15000,17.07795
26.20000,23.41565
26.25000,24.78609
26.30000,17.66658
26.35000,21.45751
26.40000,19.53001
26.45000,20.40560
26.50000,18.87324
26.55000,20.20842
26.60000,22.71491
26.65000,20.56162
26.70000,19.35403
26.75000,19.31240
26.80000,18.24191
26.85000,19.43920
26.90000,17.42623
26.95000,22.31507
27.00000,15.87875
27.05000,20.25098
27.10000,18.27185
27.15000,18.56815
27.20000,18.77615
27.25000,18.65818
27.30000,22.15139
27.35000,22.13319
27.40000,17.46096
27.45000,17.55377
27.50000,23.07481
27.55000,23.15741
27.60000,21.36095
27.65000,15.75167
27.70000,22.10447
27.75000,17.82931
27.80000,20.89432
27.85000,17.75157
27.90000,20.28639
27.95000,18.73701
28.00000,20.43468
28.05000,17.87508
28.10000,20.09164
28.15000,17.79676
28.20000,20.19474
28.25000,19.23273
28.30000,24.48452
28.35000,21.29191
28.40000,15.71428
28.45000,20.37349
28.50000,22.78738
28.55000,18.99219
28.60000,18.74438
28.65000,19.39174
28.70000,23.08014
28.75000,22.05043
28.80000,22.66207
28.85000,17.76293
28.90000,19.33615
28.95000,18.02044
29.00000,19.66573
29.05000,20.92280
29.10000,17.69038
29.15000,21.15913
29.20000,24.14673
29.25000,17.81710
29.30000,19.21119
29.35000,20.46222
29.40000,20.48549
29.45000,16.78025
29.50000,22.13567
29.55000,20.41716
29.60000,19.80756
29.65000,19.54421
29.70000,24.47537
29.75000,17.51330
29.80000,19.86114
29.85000,19.20309
29.90000,21.70579
29.95000,20.80700
30.00000,21.81796
30.05000,20.33943
30.10000,25.40211
30.15000,20.33865
30.20000,20.32134
30.25000,19.30591
30.30000,21.07089
30.35000,19.15234
30.40000,20.83893
30.45000,22.87352
30.50000,20.94933
30.55000,19.61209
30.60000,21.91774
30.65000,20.08663
30.70000,22.69279
30.75000,20.42043
30.80000,20.81515
30.85000,19.00419
30.90000,21.39844
30.95000,21.19273
31.00000,21.02163
31.05000,19.73201
31.10000,21.85511
31.15000,19.60389
31.20000,18.35902
31.25000,20.27716
31.30000,24.65066
31.35000,18.06085
31.40000,19.16194
31.45000,19.03832
31.50000,20.92960
31.55000,19.95881
31.60000,18.98083
31.65000,19.43260
31.70000,23.86349
31.75000,17.10586
31.80000,20.58404
31.85000,18.35805
31.90000,20.15085
31.95000,23.35031
32.00000,19.46758
32.05000,22.01777
32.10000,21.02053
32.15000,20.30524
32.20000,20.79890
32.25000,20.10373
32.30000,21.87123
32.35000,20.92710
32.40000,16.87897
32.45000,18.96904
32.50000,21.31196
32.55000,21.63304
32.60000,19.45187
32.65000,19.36257
32.70000,18.19417
32.75000,20.65256
32.80000,20.65526
32.85000,19.78222
32.90000,18.25485
32.95000,21.12875
33.00000,19.75964
33.05000,18.25775
33.10000,20.47509
33.15000,21.59738
33.20000,15.18186
33.25000,20.89130
33.30000,20.46415
33.35000,18.45803
33.40000,17.15158
33.45000,18.92765
33.50000,20.71150
33.55000,18.32155
33.60000,18.69616
33.65000,26.34373
33.70000,29.45380
33.75000,43.46904
33.80000,56.00238
33.85000,81.74364
33.90000,97.06929
33.95000,101.46239
34.00000,89.10497
34.05000,70.81067
34.10000,52.92400
34.15000,37.41854
34.20000,26.78171
34.25000,20.23896
34.30000,22.70634
34.35000,20.81324
34.40000,21.91831
34.45000,21.20836
34.50000,27.60981
34.55000,35.69767
34.60000,44.12027
34.65000,49.91609
34.70000,53.52625
34.75000,49.04889
34.80000,45.10746
34.85000,39.39214
34.90000,27.64632
34.95000,29.64547
35.00000,24.54738
35.05000,23.35344
35.10000,21.62570
35.15000,20.41907
35.20000,17.40114
35.25000,19.56989
35.30000,19.26257
35.35000,20.56301
35.40000,19.97325
35.45000,21.63253
35.50000,20.14360
35.55000,15.62567
35.60000,19.55634
35.65000,19.69681
35.70000,20.44800
35.75000,18.35167
35.80000,18.68420
35.85000,22.07653
35.90000,20.02691
35.95000,24.49477
36.00000,21.07009
36.05000,21.77249
36.10000,19.40207
36.15000,22.34765
36.20000,17.48875
36.25000,18.74062
36.30000,17.98267
36.35000,19.59707
36.40000,18.65181
36.45000,18.47861
36.50000,20.62871
36.55000,16.53290
36.60000,19.49399
36.65000,21.86096
36.70000,19.19330
36.75000,19.15371
36.80000,19.35958
36.85000,18.14728
36.90000,19.07816
36.95000,19.40632
37.00000,19.08131
37.05000,18.37139
37.10000,17.95909
37.15000,20.35401
37.20000,16.95207
37.25000,20.44913
37.30000,18.79177
37.35000,22.64308
37.40000,21.57029
37.45000,20.62426
37.50000,19.98025
37.55000,19.34407
37.60000,19.67056
37.65000,19.68615
37.70000,15.87722
37.75000,20.74549
37.80000,22.44177
37.85000,20.15532
37.90000,23.67295
37.95000,21.62950
38.00000,18.71726
38.05000,16.96825
38.10000,19.88938
38.15000,19.80172
38.20000,22.69282
38.25000,20.71271
38.30000,24.06445
38.35000,19.99383
38.40000,19.00988
38.45000,17.00094
38.50000,20.77902
38.55000,24.41314
38.60000,23.33216
38.65000,30.48099
38.70000,39.88972
38.75000,61.54677
38.80000,86.72400
38.85000,110.07280
38.90000,121.36073
38.95000,113.30901
39.00000,92.51291
39.05000,71.65512
39.10000,47.51115
39.15000,33.37442
39.20000,27.22549
39.25000,20.64946
39.30000,20.99422
39.35000,18.19586
39.40000,20.71868
39.45000,18.14238
39.50000,20.24694
39.55000,21.29871
39.60000,22.47164
39.65000,19.02204
39.70000,21.88685
39.75000,20.61036
39.80000,20.08427
39.85000,20.83699
39.90000,20.26515
39.95000,20.63176
40.00000,19.20185
40.05000,19.05863
40.10000,17.88664
40.15000,18.23416
40.20000,19.33040
40.25000,17.69933
40.30000,19.12051
40.35000,24.00261
40.40000,18.66399
40.45000,21.76616
40.50000,18.37120
40.55000,18.22393
40.60000,24.79085
40.65000,18.65593
40.70000,24.21723
40.75000,18.00775
40.80000,17.97233
40.85000,18.86930
40.90000,19.60391
40.95000,18.66435
41.00000,19.94040
41.05000,20.59566
41.10000,20.09174
41.15000,20.15047
41.20000,19.37949
41.25000,19.09152
41.30000,20.69014
41.35000,17.05861
41.40000,21.97602
41.45000,19.63174
41.50000,21.93642
41.55000,18.95739
41.60000,19.50448
41.65000,20.78623
41.70000,22.63768
41.75000,17.60994
41.80000,19.02413
41.85000,21.97850
41.90000,19.78016
41.95000,20.43207
42.00000,21.85193
42.05000,20.56746
42.10000,20.78651
42.15000,23.00020
42.20000,22.48856
42.25000,26.37819
42.30000,29.69738
42.35000,37.71781
42.40000,50.28765
42.45000,64.92508
42.50000,64.94648
42.55000,63.09402
42.60000,51.65822
42.65000,40.01571
42.70000,31.93057
42.75000,24.82583
42.80000,18.86154
42.85000,21.42022
42.90000,23.65252
42.95000,21.10916
43.00000,22.21009
43.05000,19.70743
43.10000,20.60786
43.15000,20.55735
43.20000,22.77134
43.25000,21.97992
43.30000,16.15243
43.35000,22.30778
43.40000,19.25369
43.45000,20.29202
43.50000,16.99366
43.55000,21.48603
43.60000,20.27095
43.65000,19.50225
43.70000,20.98309
43.75000,22.10250
43.80000,22.80660
43.85000,22.91758
43.90000,21.60843
43.95000,19.29749
44.00000,17.65857
44.05000,21.01596
44.10000,19.44773
44.15000,22.43433
44.20000,20.50658
44.25000,21.59953
44.30000,17.45551
44.35000,20.97459
44.40000,18.48450
44.45000,19.64958
44.50000,20.11481
44.55000,20.99897
44.60000,20.19067
44.65000,19.10738
44.70000,19.83764
44.75000,18.49600
44.80000,19.29674
44.85000,23.18785
44.90000,18.22955
44.95000,17.22485
45.00000,16.05877
45.05000,19.62037
45.10000,22.07647
45.15000,21.99445
45.20000,22.40834
45.25000,22.21209
45.30000,18.10489
45.35000,22.32316
45.40000,19.15285
45.45000,17.18448
45.50000,20.67127
45.55000,23.71621
45.60000,20.14969
45.65000,22.41218
45.70000,19.33477
45.75000,18.70157
45.80000,18.86312
45.85000,18.81181
45.90000,21.72748
45.95000,23.20797
46.00000,18.31553
46.05000,19.41590
46.10000,19.61101
46.15000,19.76853
46.20000,21.37549
46.25000,21.46148
46.30000,22.36283
46.35000,19.63727
46.40000,23.01866
46.45000,21.57304
46.50000,20.67786
46.55000,16.61375
46.60000,17.20438
46.65000,18.69524
46.70000,20.73926
46.75000,23.16297
46.80000,21.36469
46.85000,16.90914
46.90000,18.38128
46.95000,22.12900
47.00000,17.03694
47.05000,16.88455
47.10000,22.95005
47.15000,22.37911
47.20000,18.14100
47.25000,19.68835
47.30000,19.69338
47.35000,20.08782
47.40000,20.54376
47.45000,22.85768
47.50000,18.75841
47.55000,18.02029
47.60000,22.19252
47.65000,19.33793
47.70000,18.48248
47.75000,23.57164
47.80000,19.84337
47.85000,22.71889
47.90000,18.92843
47.95000,16.44390
48.00000,20.43399
48.05000,18.07934
48.10000,20.52066
48.15000,20.20305
48.20000,19.24719
48.25000,14.94729
48.30000,18.80785
48.35000,21.79845
48.40000,19.55630
48.45000,17.10470
48.50000,19.81060
48.55000,22.97858
48.60000,19.36511
48.65000,21.76687
48.70000,16.85248
48.75000,19.20211
48.80000,20.24528
48.85000,20.34307
48.90000,19.69024
48.95000,19.67903
49.00000,21.37407
49.05000,20.39886
49.10000,19.57848
49.15000,19.38908
49.20000,24.94471
49.25000,22.04474
49.30000,16.26564
49.35000,21.97265
49.40000,20.44636
49.45000,22.09075
49.50000,19.21636
49.55000,20.97143
49.60000,17.20404
49.65000,25.17691
49.70000,19.96679
49.75000,18.03590
49.80000,18.68237
49.85000,20.84453
49.90000,16.80060
49.95000,19.36179
50.00000,19.13593
50.05000,17.94519
50.10000,24.35624
50.15000,21.17525
50.20000,18.32735
50.25000,21.07728
50.30000,21.09071
50.35000,20.02132
50.40000,21.63186
50.45000,18.23696
50.50000,19.87525
50.55000,18.87423
50.60000,18.15390
50.65000,23.35550
50.70000,20.64676
50.75000,18.64021
50.80000,23.59020
50.85000,20.49889
50.90000,21.71861
50.95000,23.07306
51.00000,19.50839
51.05000,18.88972
51.10000,24.03747
51.15000,22.16995
51.20000,17.72597
51.25000,18.39370
51.30000,18.89987
51.35000,20.30089
51.40000,18.77694
51.45000,19.08867
51.50000,21.12195
51.55000,16.97146
51.60000,24.67151
51.65000,21.14692
51.70000,21.94264
51.75000,23.05009
51.80000,25.93042
51.85000,32.54843
51.90000,37.82928
51.95000,44.78994
52.00000,44.81466
52.05000,40.89276
52.10000,37.37666
52.15000,33.75652
52.20000,24.88654
52.25000,23.93212
52.30000,23.14951
52.35000,18.87581
52.40000,23.50551
52.45000,19.53317
52.50000,18.59430
52.55000,19.33181
52.60000,19.14725
52.65000,17.96485
52.70000,19.63630
52.75000,17.99878
52.80000,19.59122
52.85000,20.01026
52.90000,19.96670
52.95000,19.47285
53.00000,18.88615
53.05000,17.60467
53.10000,20.26824
53.15000,18.36738
53.20000,19.46762
53.25000,18.74580
53.30000,18.20662
53.35000,19.66639
53.40000,25.29585
53.45000,19.27867
53.50000,20.65887
53.55000,22.49886
53.60000,17.48194
53.65000,24.61857
53.70000,22.36351
53.75000,18.78685
53.80000,19.43481
53.85000,17.02860
53.90000,17.30581
53.95000,23.54843
54.00000,21.44623
54.05000,18.94165
54.10000,19.99558
54.15000,19.72972
54.20000,21.04486
54.25000,17.64095
54.30000,21.81540
54.35000,19.43909
54.40000,18.75647
54.45000,18.74528
54.50000,20.55432
54.55000,17.34724
54.60000,20.08976
54.65000,19.99292
54.70000,20.37847
54.75000,20.46196
54.80000,23.23869
54.85000,23.27338
54.90000,22.17034
54.95000,19.27377
55.00000,23.48888
55.05000,18.78560
55.10000,20.59326
55.15000,16.73628
55.20000,20.96344
55.25000,22.33236
55.30000,15.65691
55.35000,22.25158
55.40000,20.56199
55.45000,21.08326
55.50000,19.36575
55.55000,19.01621
55.60000,21.82419
55.65000,21.51014
55.70000,20.78785
55.75000,17.39018
55.80000,20.04695
55.85000,18.42865
55.90000,19.53882
55.95000,22.06545
56.00000,23.17664
56.05000,19.81713
56.10000,22.34466
56.15000,19.17668
56.20000,14.27783
56.25000,17.95775
56.30000,21.28645
56.35000,23.24851
56.40000,20.99552
56.45000,16.27035
56.50000,20.00038
56.55000,18.83789
56.60000,17.59612
56.65000,16.15210
56.70000,18.25503
56.75000,19.26710
56.80000,22.44034
56.85000,19.19894
56.90000,17.65449
56.95000,21.45489
57.00000,20.48029
57.05000,18.64257
57.10000,22.44262
57.15000,20.24162
57.20000,22.81754
57.25000,18.91216
57.30000,18.08683
57.35000,17.93925
57.40000,16.75991
57.45000,20.06129
57.50000,20.02135
57.55000,24.21739
57.60000,19.26235
57.65000,24.75933
57.70000,20.72122
57.75000,19.64102
57.80000,16.87169
57.85000,21.05615
57.90000,17.73321
57.95000,20.74197
58.00000,21.09220
58.05000,17.07201
58.10000,21.15753
58.15000,19.68727
58.20000,24.06867
58.25000,17.88030
58.30000,16.85336
58.35000,16.44216
58.40000,19.93026
58.45000,24.13247
58.50000,20.40326
58.55000,17.28635
58.60000,20.41668
58.65000,20.26675
58.70000,21.51541
58.75000,20.10461
58.80000,20.15332
58.85000,18.02852
58.90000,20.44636
58.95000,17.23213
59.00000,16.83793
59.05000,22.64069
59.10000,22.17311
59.15000,20.53498
59.20000,20.50093
59.25000,19.08681
59.30000,19.56172
59.35000,18.27105
59.40000,22.23979
59.45000,20.34467
59.50000,19.42248
59.55000,19.92081
59.60000,18.30850
59.65000,19.25742
59.70000,21.30759
59.75000,20.07209
59.80000,22.06864
59.85000,22.16848
59.90000,26.17956
59.95000,25.79475
60.00000,32.68572
60.05000,34.32663
60.10000,46.54647
60.15000,60.66132
60.20000,63.38587
60.25000,56.33939
60.30000,47.79795
60.35000,41.25814
60.40000,28.29543
60.45000,23.41540
60.50000,21.51491
60.55000,21.22804
60.60000,20.91128
60.65000,20.79565
60.70000,17.16117
60.75000,20.34438
60.80000,20.05476
60.85000,19.38379
60.90000,20.26656
60.95000,19.46661
61.00000,16.89255
61.05000,18.88242
61.10000,16.67984
61.15000,16.40957
61.20000,18.51143
61.25000,22.19932
61.30000,22.22310
61.35000,21.27357
61.40000,20.51981
61.45000,18.76266
61.50000,19.78624
61.55000,23.09789
61.60000,19.96221
61.65000,21.54895
61.70000,26.64325
61.75000,17.15071
61.80000,22.40885
61.85000,23.55403
61.90000,19.46933
61.95000,19.81747
62.00000,17.53867
62.05000,18.53386
62.10000,23.29191
62.15000,20.70972
62.20000,20.31868
62.25000,19.29775
62.30000,18.68384
62.35000,18.22624
62.40000,20.15689
62.45000,22.21025
62.50000,20.97146
62.55000,21.51788
62.60000,18.72348
62.65000,18.11638
62.70000,17.64854
62.75000,19.13804
62.80000,20.78727
62.85000,18.34306
62.90000,20.31471
62.95000,19.24641
63.00000,18.32479
63.05000,20.81764
63.10000,16.38676
63.15000,21.13447
63.20000,14.11066
63.25000,19.54024
63.30000,20.64838
63.35000,19.23072
63.40000,19.82502
63.45000,20.39152
63.50000,19.95987
63.55000,19.60822
63.60000,20.98853
63.65000,19.13880
63.70000,19.38656
63.75000,20.36887
63.80000,19.25401
63.85000,21.84160
63.90000,23.23419
63.95000,21.10121
64.00000,19.54732
64.05000,18.17272
64.10000,20.40955
64.15000,19.30940
64.20000,21.76611
64.25000,20.62341
64.30000,22.74223
64.35000,18.05572
64.40000,18.79365
64.45000,17.72790
64.50000,20.68337
64.55000,18.05467
64.60000,23.53495
64.65000,20.69019
64.70000,20.72348
64.75000,21.84399
64.80000,19.35775
64.85000,20.80053
64.90000,19.26107
64.95000,21.00659
65.00000,17.82828
65.05000,18.06065
65.10000,22.20038
65.15000,20.18913
65.20000,16.17874
65.25000,18.64990
65.30000,19.18113
65.35000,20.02042
65.40000,23.77284
65.45000,21.27121
65.50000,21.00107
65.55000,16.17396
65.60000,19.77790
65.65000,22.88160
65.70000,23.08689
65.75000,22.11827
65.80000,17.50069
65.85000,24.31143
65.90000,19.48970
65.95000,20.09276
66.00000,22.35788
66.05000,18.48395
66.10000,19.87354
66.15000,20.53291
66.20000,19.16516
66.25000,20.81733
66.30000,18.92414
66.35000,19.66324
66.40000,22.05486
66.45000,24.00884
66.50000,19.05055
66.55000,18.85054
66.60000,22.02785
66.65000,18.06909
66.70000,22.16416
66.75000,19.23005
66.80000,22.29583
66.85000,18.04915
66.90000,21.42602
66.95000,20.40623
67.00000,19.75934
67.05000,21.19703
67.10000,20.10617
67.15000,21.42780
67.20000,21.60957
67.25000,18.45668
67.30000,20.77799
67.35000,19.23665
67.40000,19.69767
67.45000,19.86935
67.50000,20.19259
67.55000,19.90982
67.60000,17.22971
67.65000,22.29449
67.70000,20.39701
67.75000,19.99970
67.80000,21.07242
67.85000,17.86502
67.90000,23.36615
67.95000,20.82341
68.00000,22.09790
68.05000,21.77820
68.10000,20.52983
68.15000,17.05448
68.20000,19.66273
68.25000,20.31722
68.30000,15.92321
68.35000,21.72588
68.40000,19.24843
68.45000,21.30953
68.50000,21.54824
68.55000,21.82041
68.60000,19.23805
68.65000,19.83797
68.70000,17.54639
68.75000,21.60602
68.80000,22.07752
68.85000,19.55000
68.90000,17.92241
68.95000,20.88305
69.00000,20.31316
69.05000,21.97990
69.10000,18.76958
69.15000,18.40829
69.20000,16.68567
69.25000,18.14044
69.30000,24.15963
69.35000,19.94688
69.40000,19.70960
69.45000,20.30233
69.50000,18.26643
69.55000,18.53618
69.60000,20.04675
69.65000,20.57177
69.70000,18.44490
69.75000,23.22186
69.80000,20.92586
69.85000,19.78766
69.90000,20.45432
69.95000,19.56051
70.00000,19.89396
70.05000,19.54608
70.10000,16.44540
70.15000,21.92374
70.20000,16.44049
70.25000,22.82944
70.30000,19.37591
70.35000,17.34954
70.40000,20.96442
70.45000,21.54920
70.50000,17.73459
70.55000,21.41588
70.60000,21.63331
70.65000,19.95933
70.70000,15.34519
70.75000,19.89578
70.80000,18.41162
70.85000,22.32399
70.90000,20.28547
70.95000,17.19316
71.00000,20.02845
71.05000,18.68038
71.10000,21.20339
71.15000,19.66947
71.20000,18.55055
71.25000,19.15893
71.30000,18.89835
71.35000,18.75951
71.40000,17.25007
71.45000,21.26850
71.50000,19.61432
71.55000,23.20363
71.60000,19.39111
71.65000,20.87361
71.70000,19.08749
71.75000,19.21439
71.80000,18.17254
71.85000,20.85185
71.90000,22.79634
71.95000,21.45077
72.00000,18.53928
72.05000,16.85365
72.10000,17.55926
72.15000,19.29234
72.20000,20.66280
72.25000,21.19199
72.30000,20.33262
72.35000,22.41868
72.40000,20.78937
72.45000,18.29429
72.50000,22.40514
72.55000,17.79408
72.60000,19.62183
72.65000,18.23285
72.70000,23.77394
72.75000,23.47663
72.80000,21.25297
72.85000,18.37649
72.90000,22.79734
72.95000,16.75451
73.00000,18.70456
73.05000,21.97283
73.10000,18.48456
73.15000,22.68461
73.20000,24.91823
73.25000,16.97194
73.30000,19.93330
73.35000,18.29439
73.40000,24.58150
73.45000,15.72433
73.50000,17.22149
73.55000,24.00529
73.60000,14.84288
73.65000,19.62520
73.70000,23.66082
73.75000,19.90466
73.80000,19.53020
73.85000,18.94297
73.90000,22.68949
73.95000,20.08312
74.00000,18.67814
74.05000,15.50710
74.10000,16.92785
74.15000,19.66826
74.20000,19.18579
74.25000,18.91761
74.30000,16.51237
74.35000,15.54438
74.40000,22.33922
74.45000,21.96469
74.50000,18.53777
74.55000,18.72217
74.60000,20.07812
74.65000,19.72031
74.70000,22.87702
74.75000,17.69244
74.80000,19.05017
74.85000,20.11572
